date,Line 1 Current RMS,Line 2 Current RMS,Line 3 Current RMS,Line 1 Voltage RMS,Line 2 Voltage RMS,Line 3 Voltage RMS,Line 1 power factor,Line 2 power factor,Line 3 power factor,motor_temperature,TachoSpeed(RPM)
20200527_15:15:00.377750,61.06335282651072,60.99313994511956,60.730171073094866,60.828131096371436,60.824568288854,60.762358894511486,0.9999945168225489,0.9999927360723411,0.9999933214416143,32.981086149509395,1755.4285714285713
20200527_15:15:01.377785,60.8265625,60.975255302435194,61.48208024931827,61.22869429241595,60.5188679245283,61.3311232449298,0.9999929457914006,0.9999946207934729,0.9999930879180138,33.25255061447308,1755.4285714285713
20200527_15:15:02.377788,60.69178082191781,60.87268791814246,60.86143637782982,61.347630238934585,61.201953125,61.33079327862446,0.9999945321735091,0.9999923594021318,0.9999923862467741,32.623513382346914,1755.4285714285713
20200527_15:15:03.377794,60.89176470588235,61.687646598905395,60.556707078607744,61.32967032967033,60.69712844392705,61.19577133907596,0.9999943772357337,0.9987825441749489,0.9999934920827522,32.93192002928913,1755.4285714285713
20200527_15:15:04.377828,60.92498036135114,60.68058252427184,61.162225705329156,61.446913094769954,61.49805598755832,60.85778736759514,0.9999930696702332,0.9999949451357472,0.9999931422448706,32.827628099189894,1755.4285714285713
20200527_15:15:05.377855,61.55386416861827,61.04708171206226,61.16077738515901,61.166796875,61.46571873782626,60.70471512770138,0.9999947695095348,0.9999932862227296,0.9999927839344094,32.940571103500986,1755.4285714285713
20200527_15:15:06.377902,60.58220240403257,60.74444444444445,61.17702596380803,61.14804035700427,61.17954722872756,61.25107379929715,0.9999945125942991,0.9999925930557474,0.9999929358419903,32.679792575582155,1755.4285714285713
20200527_15:15:07.377939,61.13170163170163,61.230078125,61.88901914810473,61.08109684947491,60.67474589523065,60.69782777346781,0.9999931649971913,0.9999950009288369,0.9987674975530423,33.074078111322535,1755.4285714285713
20200527_15:15:08.377999,61.23063448812768,60.926614481409004,61.33145631067961,61.348461238800155,61.1108934169279,61.06354450058298,0.9999942761733883,0.9999920604510765,0.9999930100656511,32.772829999014675,1755.4285714285713
20200527_15:15:09.378058,61.36505460218409,61.48196078431373,60.545118630882925,61.11319281811085,60.9085557299843,61.29789719626168,0.9999936046543911,0.9999931772487141,0.9985041873004942,32.95230147760901,1755.4285714285713
20200527_15:15:10.378115,60.960726846424386,61.44813359528487,60.62704598597038,60.556707078607744,60.73869445536768,60.9791260241904,0.9999937068946015,0.9999945973981483,0.9999935493657139,32.982703257832895,1755.4285714285713
20200527_15:15:11.378122,60.94283476898982,61.414173228346456,60.99550956657556,60.808777429467085,61.402891754591636,60.574276778733385,0.999993771913211,0.9999922059541566,0.9999929050916132,33.02471631156345,1755.4285714285713
20200527_15:15:12.378191,60.5043137254902,61.87289792725851,60.64123630672926,60.553003533568905,61.06444099378882,60.589663273296786,0.9999940478747995,0.9987688258622015,0.9999935890196332,32.953179682155564,1755.4285714285713
20200527_15:15:13.378222,61.04223968565815,60.963869463869464,60.571344570756565,60.85562549173879,60.99708284714119,60.55492349941154,0.9999942040585802,0.9999945967176715,0.9999939907751269,33.02044738991009,1755.4285714285713
20200527_15:15:14.378224,61.15072237407263,61.23102374464772,60.9917517674784,61.990621336459554,60.879189399844115,61.396619496855344,0.9999934680516765,0.9999927664973958,0.9999929383184963,32.85873067160594,1755.4285714285713
20200527_15:15:15.378255,61.24903025601241,60.74414976599064,60.78886265249901,61.348214285714285,61.3816868410777,60.769791256400154,0.9999945460637948,0.999993918490467,0.9999933798507531,32.882221166711474,1755.4285714285713
20200527_15:15:16.378265,60.93101438010105,60.70906604142243,61.451915559030496,61.49805523142746,61.044600938967136,60.89736127279782,0.9999943561480332,0.9999944903553332,0.9987645165922749,32.681868768244954,1755.4285714285713
20200527_15:15:17.378275,61.315031152647975,61.380971025841816,60.68097087378641,60.77825409197194,61.41454331634653,60.81298600311042,0.999811376833843,0.9999933047096573,0.9999928420988373,32.88557732729731,1755.4285714285713
20200527_15:15:18.378337,60.877682403433475,61.195174578265984,61.1136186770428,61.17903162827021,60.705339615233605,61.29742890533697,0.9999944328058196,0.9999936060831791,0.9999939143457216,32.92943059510537,1755.4285714285713
20200527_15:15:19.378346,61.02814698983581,60.67099056603774,60.91247563352827,60.91001564945227,61.345790715971674,61.0967993754879,0.9999947538249527,0.999993824689917,0.9987771763822247,33.108316003811126,1755.4285714285713
20200527_15:15:20.378394,61.14473168820995,60.73670736510437,61.2125,61.398079184633474,60.99921813917123,61.14528744622605,0.9999931755378377,0.9999936589041344,0.9999937220713658,32.71552052057007,1755.4285714285713
20200527_15:15:21.378401,60.82339089481947,60.69821567106284,61.04481409001957,61.12725844461901,61.481747572815536,60.94379161770466,0.9999947005331913,0.9999942386788824,0.9999941748190031,32.79911973245083,1755.4285714285713
20200527_15:15:22.378441,61.160770440251575,61.36474931986009,60.55490196078431,61.29504327301338,61.01400778210117,60.57142857142857,0.9999950964909429,0.9999940034825016,0.9999933102315594,32.930178916412615,1755.4285714285713
20200527_15:15:23.378462,61.419140625,60.77881619937695,61.02534381139489,61.31782642689601,61.08011695906433,60.94160440424695,0.9999927609211176,0.9999939681561486,0.9999934895672586,32.92835302087656,1755.4285714285713
20200527_15:15:24.378504,60.7976329064804,61.11295357003512,60.991732283464565,60.564077669902915,61.0125,60.9736012608353,0.9999942112594933,0.9999939011963696,0.9999944800071853,32.97838103848483,1755.4285714285713
20200527_15:15:25.378533,60.63024883359253,60.6078967943706,61.06609307782558,60.862645914396886,61.01037181996086,60.98097826086956,0.9999941624595748,0.9999932686768082,0.9999929859704132,32.99827160737169,1755.4285714285713
20200527_15:15:26.378600,60.86190105181145,61.010379945162555,61.0975135975136,61.13026521060842,61.34633477067817,61.19700505639829,0.9999922922200929,0.9999940706011438,0.9999936448352793,32.90209021835932,1755.4285714285713
20200527_15:15:27.378604,60.57533177205308,60.9756671899529,60.6957960295835,61.09609375,61.446975648075416,60.962587685113014,0.9999945867027812,0.9999935625768205,0.9999943623638748,32.93030363709846,1755.4285714285713
20200527_15:15:28.378605,60.657997653500196,61.48191112858828,61.11349453978159,60.943835616438356,60.53463203463203,61.482038266302226,0.9985933531768876,0.9999935060398186,0.9999925808747642,32.94858415197615,1755.4285714285713
